model_complexity,data_diversity,training_budget,domain_specificity,human_oversight_level,alignment_training,decision_quality
0.4967141530112327,-1.907807557877391,-1.1140813582330875,0.7654021560133495,1.1748140575856918,1.0,4.426684564758203
-0.13826430117118466,-0.8603850107795019,-0.63093083373779,1.0734127024104452,-1.8789809447538273,0.0,-2.723063101043417
0.6476885381006925,-0.41360553342164424,-0.9420601835742449,0.4986899121355445,-0.3277950558774631,1.0,4.097914708707464
1.5230298564080254,1.8876876573401904,-0.5479958187411378,-1.94249769096177,-0.04166002338133474,1.0,8.696747666594694
-0.23415337472333597,0.5565531245337582,-0.21415031071118876,-0.1554224325277597,0.01590865839963108,0.0,0.843970180350128
-0.23413695694918055,-1.3354815690998914,0.8371544863313845,-1.1557075749169152,0.1804960560780812,0.0,-1.3237393468963274
1.5792128155073915,0.486036289417637,-0.32115903870570245,-0.20260577291807386,0.6104398198094931,1.0,6.719868824138271
0.7674347291529088,-1.5473039889383655,-1.5856257067695927,0.980004236133894,-0.03540743904535086,0.0,0.03487417082496517
-0.4694743859349521,1.0826910538870733,1.1400678464951604,0.30515083587497266,-0.3680582821436807,1.0,2.9855473990147354
0.5425600435859647,-0.4711246518178786,-0.8370901336150396,1.1480908663974327,-0.4075893446596956,0.0,0.8057530007828508
-0.46341769281246226,-0.09363618873917084,-0.05872042710462872,0.3417539207135393,-0.6115158020383546,0.0,-0.5880074588518367
-0.46572975357025687,1.32579664754219,0.4465365069407115,-1.2983259396689026,0.7875433243268652,1.0,3.871059492371607
0.24196227156603412,-1.28716356858425,0.1996104184027828,-2.5208470065727346,-0.6465284794765146,1.0,4.032913023726767
-1.913280244657798,-1.3971181851129912,1.0941795475214755,0.14880876167959034,0.8467711090082444,1.0,0.16886638149029887
-1.7249178325130328,-0.5835993263460049,0.4790031433927589,-0.21392646635116538,0.018999082259871004,0.0,-3.4415465511645897
-0.5622875292409727,1.0383788510193166,-0.861309579697108,-0.9769457393818821,-0.5212548068561296,1.0,4.072594404682151
-1.0128311203344238,-1.5193460754768424,2.178562173991662,-1.700627249651378,0.6184072157441348,0.0,-3.840223035524964
0.3142473325952739,-2.832155598110569,0.19433346333823323,-0.7347432134727092,-0.7274539247231182,0.0,-0.03735303223561917
-0.9080240755212109,-0.4511588584089988,-0.14734022662150623,-0.19449148486477605,0.6381840407282129,0.0,-3.2307950965769763
-1.4123037013352915,0.5517407999109204,0.9639254230555709,0.6658778237063901,0.21272612119178486,0.0,-1.7859534297858766
1.465648768921554,1.2002617497388293,0.24945094593007222,0.18863108156798006,-0.5963246890919207,1.0,8.569708820028334
-0.22577630048653566,-0.463161362085399,0.3992281929393271,1.6080672471727289,0.5286348153345591,0.0,-3.011418332849531
0.06752820468792384,-0.41142660711600243,2.492183998600687,-1.0356040560453943,0.5465897256886387,0.0,-0.24521784832010668
-1.4247481862134568,1.1539007342557472,-0.27512142825504665,0.8810588920574334,1.1575196058099577,0.0,-1.4567377171534386
-0.5443827245251827,-1.8697416996954206,-0.3177608940173958,0.04729874312872792,0.9661470124092959,1.0,1.7354671366060717
0.11092258970986608,-0.38852077518300926,0.1165785120124638,0.6946691241185846,0.49127402072628285,1.0,2.0911433237845145
-1.1509935774223028,0.19042388992505774,1.0715159355810386,-0.43651486326554356,-1.1275909512087632,1.0,1.4126638004193062
0.37569801834567196,0.44921872128503426,-1.506534030190399,1.0716803738905898,2.448586988174057,1.0,4.614120433075866
-0.600638689918805,-0.5098066931908826,-1.9655558914765052,0.29522475834524275,-1.4036162110718102,1.0,0.978450931931099
-0.2916937497932768,0.03444101170584135,-0.5871152706201476,-0.6794449849177494,0.949263174282309,1.0,4.675148414554133
-0.6017066122293969,-2.4883273534129895,-1.6339229590592872,-0.012024028913188147,0.43128381688629847,0.0,-1.463897395957867
1.8522781845089378,-0.6582484123338483,-0.42483134752563845,-0.23955585893709952,-1.1741423724811146,0.0,1.4178254493970566
-0.013497224737933921,0.4535087125544674,0.5024996961292902,0.4891783506377937,-0.12430093887849918,0.0,-0.644662630128463
